symbol,Z,lattice_type,a0,a1,a2,a3,a4,ME (%)
He,2,HCP.,16.03115,0.01926,0.06846,-0.00567,0.0009275,0.01
He,2,FCC,4.55876,-0.00283,0.00917,-0.00167,0.0001334,0.01
Li,3,BCC,1.20401,-0.0004142,0.0001264,-3.584E-07,-5.327E-10,0.03
Be,4,HCP.,0.36275,0.00000659,-7.256E-07,2.249E-08,-5.366E-11,0.01
C,6,DIAMOND,0.11918,-6.36E-08,1.962E-07,3.167E-10,-1.858E-12,0.01
Ne,10,FCC,1.66115,0.00243,-0.000328,0.0001197,-0.000002696,0.03
Na,11,BCC,0.81176,-0.00138,0.0003954,-0.000003464,1.24E-08,0.08
Mg,12,HCP.,0.42425,0.0001714,0.00002935,1.405E-07,-1.449E-09,0.06
Al,13,FCC,0.27196,-0.00004254,0.000007433,7.042E-08,-4.391E-10,0.02
Si,14,DIAMOND,0.19284,0.0000167,-7.475E-07,0.000000141,-8.174E-10,0.02
Ar,18,FCC,0.82048,-0.00258,0.0009105,-0.00001047,0.000000046,0.29
K,19,BCC,0.78847,-0.0002233,0.0008963,-0.00001055,4.711E-08,0.37
Ca,20,FCC,0.31376,-0.0001804,0.00008118,-4.502E-07,8.299E-10,0.05
Ca,20,BCC,0.37894,-0.000421,0.0001313,-0.000001006,3.204E-09,0.05
Sc,21,HCP.,0.20201,-0.0000923,0.00000581,1.373E-07,-9.44E-10,0.04
Ti,22,HCP.,0.16677,0.00002669,0.000002068,1.022E-07,-6.03E-10,0.02
V,23,BCC,0.15421,0.00006057,0.00001253,-5.13E-08,1.305E-10,0.03
Cr,24,BCC,0.11316,-0.000004193,0.000002064,-1.451E-11,3.307E-11,0.02
Fe,26,BCC,0.12132,-0.00001893,0.000003513,1.327E-08,-8.533E-11,0.02
Fe,26,FCC,0.15517,-0.00001997,0.000009983,8.506E-09,-2.064E-10,0.02
Ni,28,FCC,0.12573,-0.00001977,0.000002775,3.922E-08,-2.291E-10,0.01
Cu,29,FCC,0.14616,-0.00001212,0.00000822,4.448E-08,-4.132E-10,0.01
Zn,30,HCP.,0.20745,-0.0002901,0.0000369,-3.618E-08,-8.717E-10,0.24
Ge,32,DIAMOND,0.13367,-0.0002609,0.00002061,-4.908E-08,-2.569E-10,0.14
Kr,36,FCC,0.52667,0.00125,0.0008848,-0.00001137,5.367E-08,0.86
Rb,37,BCC,0.57468,0.0076,0.00116,-0.00001563,7.64E-08,1.76
Sr,38,BCC,0.30725,-0.0001276,0.0002858,-0.000003173,1.362E-08,0.2
Y,39,HCP.,0.15651,-0.000159,0.00002634,-3.492E-08,-4.91E-10,0.11
Zr,40,HCP.,0.12491,-0.00006417,0.00001215,3.31E-08,-5.068E-10,0.06
Nb,41,BCC,0.10862,-0.00004088,0.00001003,-4.529E-09,-1.664E-10,0.01
Mo,42,BCC,0.0762,0.0000323,0.00000121,2.189E-08,-1.052E-10,0.02
Pd,46,FCC,0.10288,-0.0001177,0.00001154,-6.362E-09,-2.215E-10,0.04
Ag,47,FCC,0.12932,-0.00007537,0.00002371,-5.679E-08,-2.679E-10,0.1
Sn,50,DIAMOND,0.14057,-0.0008009,0.00009321,-9.629E-07,3.901E-09,0.56
Xe,54,FCC,0.38452,0.00482,0.0007547,-0.00001007,4.87E-08,1.23
Cs,55,BCC,0.50698,0.02166,0.00135,-0.00001933,9.769E-08,3.58
Ba,56,BCC,0.23013,-0.0003114,0.0002572,-0.000002981,1.314E-08,0.38
La,57,FCC,0.18446,-0.0006587,0.0001378,-0.000001364,5.296E-09,0.26
Tb,65,HCP.,0.12655,-0.0002718,0.00005559,-0.000000405,1.1E-09,0.2
Ho,67,HCP.,0.11529,-0.0002341,0.00004,-2.202E-07,2.775E-10,0.25
Ta,73,BCC,0.06738,0.00001172,0.000005384,4.135E-08,-4.006E-10,0.07
W,74,BCC,0.04702,0.00003234,9.579E-07,2.342E-08,-1.351E-10,0.04
Pt,78,FCC,0.0677,-0.00004038,0.00001223,-0.00000004,-5.083E-11,0.06
Au,79,FCC,0.08767,-0.0002654,0.00003587,-2.836E-07,9.104E-10,0.07
Pb,82,FCC,0.13625,0.00148,0.0001297,-0.000001434,6.111E-09,0.19
Th,90,FCC,0.08981,-0.0002508,0.00004298,-3.296E-07,0.000000001,0.28
Mn,25,NA,0.12754,0.000002818,0.000004722,8.58E-09,-8.769E-11,0.01
Co,27,NA,0.10955,0.000001879,0.000003467,5.237E-09,-5.071E-11,0.01
Ga,31,NA,0.12877,0.000002241,0.00000794,1.539E-08,-2.17E-10,0.01
As,33,NA,0.13599,-0.000002725,0.00001122,1.326E-08,-3.003E-10,0.02
Se,34,NA,0.40458,-0.0005352,0.000431,-0.00000487,0.000000021,0.2
Ru,44,NA,0.04738,1.585E-07,8.522E-07,3.805E-10,-3.294E-12,0.01
Rh,45,NA,0.05816,7.334E-07,0.000001596,1.919E-09,-1.786E-11,0.01
Cd,48,NA,0.12239,-0.00004091,0.0000215,-5.408E-08,-2.069E-10,0.06
In,49,NA,0.23229,-0.0004124,0.0001821,-0.000001839,7.271E-09,0.17
Sb,51,NA,0.11192,-0.00003555,0.00001918,-4.56E-08,-1.995E-10,0.06
Te,52,NA,0.14748,-0.0001611,0.00005615,-3.793E-07,9.33E-10,0.12
Gd,64,NA,0.09144,-0.00003805,0.00001799,-5.673E-08,-1.073E-10,0.07
Dy,66,NA,0.08425,-0.00002745,0.00001462,-3.576E-08,-1.464E-10,0.06
Hf,72,NA,0.06389,-0.000005951,0.000006949,1.648E-10,-1.566E-10,0.03
Ta,73,NA,0.06618,-0.000009267,0.000008144,-4.773E-09,-1.609E-10,0.04
Re,75,NA,0.03588,7.034E-07,0.000001212,0.000000002,-1.98E-11,0.01
Os,76,NA,0.03021,3.114E-07,7.675E-07,7.978E-10,-7.3E-12,0.01
Ir,77,NA,0.03559,7.481E-07,0.000001257,2.188E-09,-2.193E-11,0.02
Hg,80,NA,0.19812,0.0002056,0.0002895,-0.000003592,1.657E-08,0.55
Tl,81,NA,0.17865,-0.00003461,0.0002324,-0.000002793,1.26E-08,0.36
Bi,83,NA,0.11585,-0.0001975,0.00007561,-0.000000705,2.596E-09,0.16
U,92,NA,0.05836,-0.00002049,0.00001051,-2.789E-08,-9.295E-11,0.06
